OriginZip,DestinationZip,num_orders,count_orders,max_orders,avg_volume,max_volume,min_volume,orders_per_day
2072,19395,1,1,1,300.0,300.0,300.0,0.03333333333333333
2072,19472,1,1,1,264.0,264.0,264.0,0.03333333333333333
2072,19735,1,1,1,176.0,176.0,176.0,0.03333333333333333
2072,20119,1,1,1,60.0,60.0,60.0,0.03333333333333333
2072,20214,3,1,3,240.0,240.0,240.0,0.1
2072,20289,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,20416,1,1,1,150.0,150.0,150.0,0.03333333333333333
2072,20502,1,1,1,240.0,240.0,240.0,0.03333333333333333
2072,20615,1,1,1,240.0,240.0,240.0,0.03333333333333333
2072,20632,1,1,1,60.0,60.0,60.0,0.03333333333333333
2072,20635,1,1,1,240.0,240.0,240.0,0.03333333333333333
2072,20711,1,1,1,540.0,540.0,540.0,0.03333333333333333
2072,20792,3,1,3,120.0,120.0,120.0,0.1
2072,21209,1,1,1,176.0,176.0,176.0,0.03333333333333333
2072,21634,2,1,2,108.0,108.0,108.0,0.06666666666666667
2072,21863,1,1,1,264.0,264.0,264.0,0.03333333333333333
2072,22503,1,1,1,120.0,120.0,120.0,0.03333333333333333
2072,22663,1,1,1,150.0,150.0,150.0,0.03333333333333333
2072,22907,1,1,1,120.0,120.0,120.0,0.03333333333333333
2072,22936,1,1,1,264.0,264.0,264.0,0.03333333333333333
2072,22940,1,1,1,240.0,240.0,240.0,0.03333333333333333
2072,23005,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,23009,1,1,1,1040.0,1040.0,1040.0,0.03333333333333333
2072,23323,2,1,2,264.0,264.0,264.0,0.06666666666666667
2072,23466,1,1,1,60.0,60.0,60.0,0.03333333333333333
2072,23694,2,2,1,252.0,264.0,240.0,0.06666666666666667
2072,23696,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,24266,1,1,1,60.0,60.0,60.0,0.03333333333333333
2072,25126,2,1,2,108.0,108.0,108.0,0.06666666666666667
2072,25517,1,1,1,300.0,300.0,300.0,0.03333333333333333
2072,25651,1,1,1,300.0,300.0,300.0,0.03333333333333333
2072,25902,1,1,1,176.0,176.0,176.0,0.03333333333333333
2072,25943,1,1,1,540.0,540.0,540.0,0.03333333333333333
2072,26238,1,1,1,176.0,176.0,176.0,0.03333333333333333
2072,26298,1,1,1,176.0,176.0,176.0,0.03333333333333333
2072,26346,1,1,1,60.0,60.0,60.0,0.03333333333333333
2072,26531,1,1,1,300.0,300.0,300.0,0.03333333333333333
2072,27377,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,27629,1,1,1,264.0,264.0,264.0,0.03333333333333333
2072,27816,1,1,1,680.0,680.0,680.0,0.03333333333333333
2072,28150,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,28218,1,1,1,240.0,240.0,240.0,0.03333333333333333
2072,28371,1,1,1,60.0,60.0,60.0,0.03333333333333333
2072,28456,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,28480,1,1,1,162.0,162.0,162.0,0.03333333333333333
2072,28571,1,1,1,540.0,540.0,540.0,0.03333333333333333
2072,28627,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,28640,1,1,1,540.0,540.0,540.0,0.03333333333333333
2072,29126,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,29219,1,1,1,240.0,240.0,240.0,0.03333333333333333
2072,29457,1,1,1,1040.0,1040.0,1040.0,0.03333333333333333
2072,29526,1,1,1,150.0,150.0,150.0,0.03333333333333333
2072,29691,1,1,1,1232.0,1232.0,1232.0,0.03333333333333333
2072,29722,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,30217,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,30293,1,1,1,240.0,240.0,240.0,0.03333333333333333
2072,30705,1,1,1,240.0,240.0,240.0,0.03333333333333333
2072,30822,1,1,1,60.0,60.0,60.0,0.03333333333333333
2072,30919,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,31543,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,31603,2,1,2,120.0,120.0,120.0,0.06666666666666667
2072,31620,3,1,3,240.0,240.0,240.0,0.1
2072,31836,1,1,1,264.0,264.0,264.0,0.03333333333333333
2072,32033,2,1,2,264.0,264.0,264.0,0.06666666666666667
2072,32063,1,1,1,120.0,120.0,120.0,0.03333333333333333
2072,32347,1,1,1,300.0,300.0,300.0,0.03333333333333333
2072,32452,1,1,1,264.0,264.0,264.0,0.03333333333333333
2072,32506,2,1,2,240.0,240.0,240.0,0.06666666666666667
2072,32534,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,32540,1,1,1,264.0,264.0,264.0,0.03333333333333333
2072,32961,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,32967,1,1,1,120.0,120.0,120.0,0.03333333333333333
2072,33032,1,1,1,120.0,120.0,120.0,0.03333333333333333
2072,33437,1,1,1,60.0,60.0,60.0,0.03333333333333333
2072,33538,1,1,1,120.0,120.0,120.0,0.03333333333333333
2072,33593,3,1,3,264.0,264.0,264.0,0.1
2072,33852,1,1,1,120.0,120.0,120.0,0.03333333333333333
2072,33859,1,1,1,240.0,240.0,240.0,0.03333333333333333
2072,34137,1,1,1,150.0,150.0,150.0,0.03333333333333333
2072,34274,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,34471,1,1,1,60.0,60.0,60.0,0.03333333333333333
2072,34638,1,1,1,60.0,60.0,60.0,0.03333333333333333
2072,34652,1,1,1,60.0,60.0,60.0,0.03333333333333333
2072,34958,1,1,1,264.0,264.0,264.0,0.03333333333333333
2072,35014,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,35097,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,35662,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,35747,1,1,1,264.0,264.0,264.0,0.03333333333333333
2072,36266,1,1,1,240.0,240.0,240.0,0.03333333333333333
2072,36854,1,1,1,300.0,300.0,300.0,0.03333333333333333
2072,37012,2,1,2,1040.0,1040.0,1040.0,0.06666666666666667
2072,37313,1,1,1,264.0,264.0,264.0,0.03333333333333333
2072,37325,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,38019,1,1,1,60.0,60.0,60.0,0.03333333333333333
2072,38503,1,1,1,1040.0,1040.0,1040.0,0.03333333333333333
2072,38846,1,1,1,240.0,240.0,240.0,0.03333333333333333
2072,39180,1,1,1,1000.0,1000.0,1000.0,0.03333333333333333
2072,39232,1,1,1,264.0,264.0,264.0,0.03333333333333333
2072,40281,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,40355,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,40403,1,1,1,120.0,120.0,120.0,0.03333333333333333
2072,41831,1,1,1,1040.0,1040.0,1040.0,0.03333333333333333
2072,42025,1,1,1,240.0,240.0,240.0,0.03333333333333333
2072,42452,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,42757,1,1,1,1040.0,1040.0,1040.0,0.03333333333333333
2072,42782,1,1,1,108.0,108.0,108.0,0.03333333333333333
2072,43291,1,1,1,240.0,240.0,240.0,0.03333333333333333
2072,43342,1,1,1,264.0,264.0,264.0,0.03333333333333333
